Tijdstempel,What programme are you in?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,I have used ChatGPT to help me with some of my study assignments,When is your birthday (date)?,How many students do you estimate there are in the room?,Did you stand up to come to your previous answer    ?,What is your stress level (0-100)?,How many hours per week do you do sports (in whole hours)?,Give a random number,Time you went to bed Yesterday,What makes a good day for you (1)?,What makes a good day for you (2)?
4-4-2023 12:11:12,Business Analytics,1.0,1.0,1,1.0,1.0,1.0,1995-07-07,301-400,0.0,20-30,4-6,73,12:00-29,Sport,Sunny walk
4-4-2023 12:10:05,Bioinformatics,1.0,0.0,0,0.0,1.0,1.0,2000-10-24,301-400,,70-80,6-10,30,,food ,game
4-4-2023 12:13:28,Bioinformatics,1.0,0.0,1,0.0,1.0,1.0,1996-06-13,301-400,0.0,70-80,6-10,69,03:00-29,Go outisde,Friends
4-4-2023 12:11:14,Artificial Intelligence,0.0,0.0,1,1.0,0.0,0.0,1999-12-23,301-400,0.0,10-20,6-10,23,,Doing everything from my ToDo list,Taking a walk
4-4-2023 12:11:19,Quantitative Risk Management,0.0,0.0,1,0.0,0.0,0.0,2001-10-05,401-500,0.0,80-90,0-2,8,00:30-59,No 9 AM lecture,Food
4-4-2023 12:08:33,Artificial Intelligence,1.0,0.0,1,0.0,,1.0,1997-11-23,301-400,,90-100,,69,11:30-59,Ashes,Not ashes
4-4-2023 12:11:55,Other,1.0,1.0,1,1.0,1.0,1.0,1997-10-27,301-400,0.0,10-20,2-4,2323,00:30-59,Sunshine,Good night sleep
4-4-2023 12:11:02,Econometrics,1.0,0.0,1,0.0,0.0,1.0,1997-04-17,201-300,0.0,60-70,,76,,Nice weather,Wake up early
4-4-2023 12:12:05,Econometrics,1.0,1.0,1,1.0,1.0,1.0,2000-09-28,201-300,0.0,70-80,2-4,3.141.592.654,,Good food,Sunshine and no stress
4-4-2023 12:11:33,Computer Science,0.0,0.0,1,1.0,1.0,1.0,,401-500,0.0,10-20,6-10,7,00:00-29,☕,good weather 
4-4-2023 12:11:01,Other,1.0,0.0,1,0.0,1.0,1.0,1998-04-30,401-500,0.0,60-70,6-10,28,23:30-59,Good food,Sleep 
4-4-2023 12:10:18,Econometrics,1.0,1.0,1,1.0,1.0,1.0,2001-07-05,201-300,0.0,40-50,4-6,10,,Feeling productive,Exercised
4-4-2023 12:10:51,Artificial Intelligence,0.0,0.0,1,0.0,0.0,1.0,2000-02-19,301-400,0.0,60-70,0-2,28,00:30-59,Good meal,Sun
4-4-2023 12:11:17,Computer Science,1.0,0.0,1,1.0,0.0,1.0,,301-400,1.0,0-10,6-10,7,02:00-29,music,alcohol
4-4-2023 12:11:37,Artificial Intelligence,1.0,,1,1.0,1.0,1.0,,201-300,0.0,0-10,6-10,56784,00:00-29,Happyness,Sun
4-4-2023 12:12:39,Econometrics,1.0,0.0,1,1.0,1.0,1.0,2001-01-01,201-300,0.0,0-10,2-4,-3.14,,"A bit of study , a bit of wine , a bit of sex , a bit of tv , sun but not too hot","Rainy sunday  , i am inside listening to my playlist on spotify and making a stew."
4-4-2023 12:09:22,Computer Science,0.0,0.0,1,1.0,1.0,1.0,1999-11-14,501-1000,1.0,90-100,0-2,28482947291,,delicious food,nothing
4-4-2023 12:13:42,Bioinformatics,1.0,,1,0.0,0.0,0.0,1996-01-01,101-200,0.0,0-10,4-6,18,,Nice people,Educational accomplishments
4-4-2023 12:11:54,Business Analytics,1.0,1.0,1,1.0,1.0,1.0,1999-12-31,301-400,0.0,30-40,4-6,102,01:00-29,Good food,Hanging with friends
4-4-2023 12:10:09,Artificial Intelligence,1.0,0.0,0,1.0,,,2002-05-07,101-200,0.0,0-10,4-6,189572,01:00-29,Good night rest,No anxiety
4-4-2023 12:11:25,Artificial Intelligence,1.0,1.0,1,1.0,0.0,,1999-08-24,201-300,0.0,40-50,0-2,24,00:30-59,Good weather,Hanging out with friends 
4-4-2023 12:08:59,Quantitative Risk Management,0.0,0.0,1,0.0,1.0,1.0,1998-08-18,201-300,0.0,60-70,6-10,874,11:00-29,Relax,Sun
4-4-2023 12:11:07,Econometrics,1.0,0.0,0,0.0,1.0,,,401-500,0.0,20-30,6-10,23,,Sleeping in,Being duty-free
4-4-2023 12:10:15,Bioinformatics,1.0,0.0,0,0.0,0.0,0.0,1998-12-18,301-400,0.0,0-10,2-4,25,,Slept well,Food 
4-4-2023 12:11:33,Artificial Intelligence,0.0,0.0,1,1.0,1.0,1.0,1995-11-03,101-200,0.0,90-100,2-4,69,01:00-29,Coffee,More coffee
4-4-2023 12:11:21,Econometrics,0.0,0.0,1,0.0,1.0,1.0,1995-01-05,401-500,0.0,50-60,4-6,7,00:30-59,Sleep-in,Sunshine
4-4-2023 12:11:22,Bioinformatics,1.0,0.0,0,0.0,1.0,1.0,1999-11-09,201-300,0.0,0-10,,333,,Free time to do whatever I want!,Nice food and good stuff to watch 
4-4-2023 12:11:34,Computer Science,1.0,1.0,1,1.0,1.0,1.0,1999-02-23,201-300,0.0,20-30,4-6,69,00:30-59,No lectures ,Nice weather 
4-4-2023 12:11:13,Business Analytics,1.0,1.0,1,1.0,0.0,1.0,2000-11-09,401-500,0.0,80-90,2-4,12,00:30-59,Coffee,Sunshine
4-4-2023 12:10:52,Bioinformatics,1.0,0.0,1,0.0,1.0,0.0,1997-07-08,201-300,0.0,40-50,2-4,3,,Music,Food
4-4-2023 12:11:12,Computational Science,0.0,1.0,1,0.0,0.0,1.0,1999-07-10,401-500,0.0,0-10,2-4,5,,Good sleep ,Painting
4-4-2023 12:11:09,Artificial Intelligence,1.0,1.0,1,1.0,1.0,1.0,1997-01-17,201-300,0.0,0-10,2-4,7,02:30-59,Mood,Circumstances
4-4-2023 12:13:15,Bioinformatics,1.0,,1,1.0,1.0,0.0,1999-05-14,301-400,0.0,20-30,0-2,748,,Gib vacation pls,When I longboard with the bois
4-4-2023 12:12:05,Artificial Intelligence,1.0,0.0,1,1.0,1.0,,1999-01-15,101-200,0.0,10-20,4-6,4,00:00-29,When Frank Ocean drops a new album.,Spending the day with my loved ones.
4-4-2023 12:10:56,Bioinformatics,1.0,0.0,1,1.0,0.0,0.0,1999-09-16,501-1000,0.0,90-100,,69,23:00-29,Having some free time for once,No exam
4-4-2023 12:11:43,Artificial Intelligence,0.0,0.0,1,0.0,1.0,1.0,1996-06-02,501-1000,0.0,10-20,0-2,666,00:00-29,"Sun, love and beer",Work
4-4-2023 12:10:53,Artificial Intelligence,0.0,0.0,1,0.0,0.0,1.0,,201-300,0.0,40-50,0-2,99,23:30-59,Nice weather,Nice meal and coffee
4-4-2023 12:10:39,Artificial Intelligence,0.0,0.0,1,0.0,1.0,1.0,1998-09-19,51-100,0.0,0-10,,23,12:00-29,Sticking to my timetable ,Eating good food 
4-4-2023 12:11:27,Other,1.0,0.0,1,0.0,1.0,1.0,1999-05-11,301-400,0.0,30-40,2-4,99,23:30-59,Sun,Money
4-4-2023 12:11:19,Bioinformatics,1.0,0.0,1,1.0,0.0,1.0,2000-11-29,101-200,0.0,90-100,0-2,666,,Sunny day,No class
4-4-2023 12:10:36,Artificial Intelligence,1.0,1.0,1,0.0,0.0,0.0,1998-01-25,101-200,0.0,20-30,4-6,66,11:30-59,Good weather ,Cats 
4-4-2023 12:11:07,Bioinformatics,0.0,0.0,1,0.0,1.0,0.0,2001-01-15,301-400,0.0,10-20,4-6,8,23:00-29,Good sleep,Good meal
4-4-2023 12:11:18,Computer Science,1.0,0.0,1,1.0,1.0,,1998-08-05,401-500,0.0,50-60,6-10,3,23:00-29,Good weather,Progress in study
4-4-2023 12:09:59,Other,0.0,0.0,1,0.0,0.0,1.0,1998-11-05,51-100,0.0,70-80,,11,12:00-29,Good food,Productivity
4-4-2023 12:11:39,Econometrics,1.0,1.0,1,0.0,1.0,1.0,2002-02-20,301-400,0.0,10-20,4-6,37,00:30-59,Pancakes ,Sport
4-4-2023 12:11:37,Business Analytics,1.0,1.0,1,1.0,1.0,1.0,2000-05-09,301-400,0.0,10-20,6-10,9,02:00-29,Sun,Late wakeup 
4-4-2023 12:10:57,Other,1.0,0.0,1,0.0,0.0,1.0,2000-04-09,201-300,0.0,10-20,6-10,56,,warm and sunny,friends
4-4-2023 12:10:35,Computational Science,1.0,0.0,1,1.0,0.0,1.0,2001-10-01,201-300,,30-40,,987.654.321.123.456.000,,Family!,Friends!
4-4-2023 12:12:04,Computer Science,1.0,1.0,1,1.0,1.0,1.0,2001-12-02,301-400,0.0,10-20,4-6,69420,00:00-29,Sex,Good weather
4-4-2023 12:10:42,Econometrics,,0.0,1,0.0,1.0,1.0,1998-06-09,51-100,0.0,50-60,4-6,6,00:00-29,Good results,Prodictivity
4-4-2023 12:11:00,Computational Science,1.0,0.0,1,1.0,0.0,1.0,,501-1000,0.0,60-70,,7,,nice weather,good news
4-4-2023 12:11:41,Artificial Intelligence,1.0,1.0,1,1.0,0.0,0.0,2000-04-06,101-200,0.0,60-70,4-6,9,11:30-59,Sleeping,Eating
4-4-2023 12:12:00,Computer Science,1.0,0.0,1,1.0,1.0,1.0,1999-11-22,301-400,0.0,50-60,6-10,42,,Good food,Koen's smile
4-4-2023 12:11:20,Computer Science,1.0,1.0,0,1.0,1.0,,,401-500,,90-100,0-2,0,,Idk never had any,Like I said
4-4-2023 12:10:38,Other,1.0,0.0,0,0.0,0.0,,1994-06-18,301-400,0.0,50-60,2-4,4,12:30-59,coffee,good sleep
4-4-2023 12:11:16,Artificial Intelligence,1.0,1.0,1,1.0,0.0,1.0,2000-03-05,501-1000,0.0,10-20,0-2,67,23:00-29,Good food,Good sleep
4-4-2023 12:11:28,Business Analytics,1.0,0.0,1,1.0,0.0,1.0,,401-500,0.0,50-60,2-4,4,01:00-29,warm weather,good diner
4-4-2023 12:11:36,Artificial Intelligence,0.0,,1,1.0,0.0,,1997-11-12,501-1000,0.0,40-50,2-4,76,23:00-29,Sun ,Good food
4-4-2023 12:08:52,Other,1.0,1.0,1,1.0,1.0,1.0,1996-06-25,51-100,,40-50,4-6,12,11:00-29,Gym,Piano
4-4-2023 12:11:03,Business Analytics,1.0,0.0,1,0.0,1.0,1.0,2000-04-03,301-400,0.0,20-30,6-10,58,23:30-59,Nice weather ,Gym  
4-4-2023 12:10:46,Other,0.0,0.0,1,0.0,0.0,1.0,1999-12-08,101-200,0.0,20-30,4-6,35,02:00-29,Good breakfast,Good workout
4-4-2023 12:11:12,Econometrics,1.0,0.0,1,0.0,0.0,1.0,,301-400,0.0,40-50,2-4,33,23:30-59,Prayer,Loved ones
4-4-2023 12:08:36,Artificial Intelligence,0.0,0.0,0,0.0,1.0,,1995-08-05,501-1000,0.0,50-60,0-2,42,23:00-29,good food,good sleep
4-4-2023 12:11:43,Artificial Intelligence,1.0,1.0,1,1.0,0.0,0.0,1998-04-08,201-300,0.0,60-70,0-2,4,22:00-29,Sunshine,Good food
4-4-2023 12:11:03,Artificial Intelligence,1.0,0.0,1,0.0,0.0,1.0,1997-06-08,201-300,0.0,40-50,4-6,37,00:00-29,Nice breakfast,Sun shining
4-4-2023 12:10:45,Other,1.0,,1,0.0,1.0,1.0,1998-03-30,101-200,0.0,40-50,6-10,42,,Sunny weather,No class
4-4-2023 12:11:21,Business Analytics,1.0,,1,1.0,,1.0,1999-06-20,101-200,0.0,20-30,2-4,6,,Sleeping well,enough credits
4-4-2023 12:10:57,Bioinformatics,1.0,0.0,0,0.0,1.0,1.0,1997-12-12,401-500,0.0,0-10,4-6,8,,Morning sex,Cocain
4-4-2023 12:11:33,Artificial Intelligence,0.0,0.0,1,0.0,1.0,0.0,,401-500,0.0,20-30,0-2,73,23:00-29,Sunlight,Good music
4-4-2023 12:10:17,Artificial Intelligence,1.0,1.0,1,0.0,0.0,1.0,1999-08-22,301-400,0.0,70-80,4-6,69,22:30-59,A sunny day ,If I had a nice workout 
4-4-2023 12:12:02,Other,1.0,0.0,0,1.0,1.0,1.0,2000-01-24,51-100,0.0,70-80,6-10,24,23:00-29,Winning dota2 rank,Winning one on one in basketball 
4-4-2023 12:09:12,Artificial Intelligence,1.0,1.0,1,1.0,1.0,1.0,2000-08-03,501-1000,0.0,20-30,2-4,8,00:00-29,When the sun shines,If I am able to sport
4-4-2023 12:11:22,Artificial Intelligence,1.0,0.0,1,1.0,,,1900-01-01,501-1000,0.0,90-100,6-10,726361918372611819732618191817,,Getting paid,Eating
4-4-2023 12:11:30,Bioinformatics,1.0,0.0,0,0.0,0.0,1.0,2000-09-10,401-500,0.0,30-40,0-2,37,00:30-59,NO DDL,cozy environment
4-4-2023 12:12:05,Computational Science,1.0,0.0,1,0.0,1.0,1.0,,201-300,0.0,70-80,,42,23:00-29,meeting a new person,working-studying efficiently for at least 4 hours 
4-4-2023 12:11:05,Business Analytics,1.0,1.0,1,1.0,0.0,1.0,1997-01-01,501-1000,,90-100,,3,22:30-59,Fun,Bier
4-4-2023 12:11:00,Econometrics,0.0,0.0,1,0.0,0.0,1.0,1998-03-04,401-500,0.0,0-10,10-15,4,23:00-29,Coffee,Sun
4-4-2023 12:10:58,Bioinformatics,1.0,1.0,0,1.0,1.0,1.0,1999-08-23,201-300,0.0,30-40,2-4,Driehonderd ,23:30-59,Sun,Music 
4-4-2023 12:11:10,Artificial Intelligence,1.0,1.0,1,0.0,1.0,1.0,,301-400,0.0,0-10,6-10,63,00:30-59,The sun shining,Having worked out in the morning
4-4-2023 12:10:45,Bioinformatics,1.0,0.0,0,0.0,0.0,1.0,1996-04-22,501-1000,0.0,90-100,2-4,22,01:00-29,No class,No exam
