Tijdstempel,What programme are you in?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,I have used ChatGPT to help me with some of my study assignments,When is your birthday (date)?,How many students do you estimate there are in the room?,Did you stand up to come to your previous answer    ?,What is your stress level (0-100)?,How many hours per week do you do sports (in whole hours)?,Give a random number,Time you went to bed Yesterday,What makes a good day for you (1)?,What makes a good day for you (2)?
4-4-2023 12:11:05,Artificial Intelligence,1.0,0.0,1,1.0,1.0,0.0,1997-05-02,301-400,0.0,50-60,6-10,6721,22:00-29,Time to read,A good lunch
4-4-2023 12:10:56,Business Analytics,1.0,0.0,1,1.0,1.0,0.0,,501-1000,0.0,20-30,6-10,8,23:00-29,Good weather,Friend
4-4-2023 12:11:15,Computational Science,0.0,0.0,1,0.0,1.0,1.0,1998-02-08,101-200,0.0,70-80,6-10,7362562722,00:00-29,Sleep,Weather
4-4-2023 12:11:44,Finance and Technology,1.0,0.0,1,1.0,1.0,0.0,,301-400,0.0,70-80,4-6,94,,Challenge accepted,Challenge completed
4-4-2023 12:12:23,Computational Science,1.0,1.0,1,1.0,1.0,1.0,1999-01-22,301-400,0.0,0-10,0-2,51,01:00-29,Having drinks with friends,Playing padel
4-4-2023 12:09:02,Artificial Intelligence,1.0,0.0,1,1.0,1.0,1.0,1999-07-21,101-200,0.0,90-100,6-10,27,23:00-29,Good code,Good code
4-4-2023 12:11:07,Artificial Intelligence,1.0,0.0,1,1.0,1.0,1.0,1999-05-12,301-400,0.0,10-20,0-2,4,02:00-29,Progress,Learning
4-4-2023 12:10:55,Business Analytics,1.0,0.0,1,1.0,0.0,0.0,1996-08-18,301-400,0.0,10-20,10-15,26,22:30-59,Sunshine,Friends 
4-4-2023 12:11:06,Econometrics,0.0,0.0,1,1.0,0.0,1.0,1999-05-25,201-300,0.0,30-40,4-6,68,11:00-29,Sun,Being free
4-4-2023 12:11:06,Bioinformatics,1.0,0.0,1,1.0,1.0,0.0,1998-11-05,501-1000,0.0,60-70,2-4,69,,Little stress,Having fun
4-4-2023 12:10:03,Business Analytics,1.0,0.0,1,0.0,1.0,1.0,1997-04-26,301-400,0.0,90-100,0-2,4,,Being productive ,Having a good meal
4-4-2023 12:11:08,Artificial Intelligence,1.0,0.0,1,1.0,0.0,1.0,1992-11-08,501-1000,0.0,90-100,6-10,7,00:00-29,enough sleep,sun
4-4-2023 12:12:09,Computational Science,0.0,0.0,1,0.0,1.0,0.0,,301-400,0.0,0-10,6-10,###############################################################################################################################################################################################################################################################,,start of weekend,activities
4-4-2023 12:09:52,Artificial Intelligence,1.0,0.0,0,0.0,1.0,1.0,1999-05-14,101-200,0.0,90-100,,290,,Getting things done,Creating
4-4-2023 12:10:57,Artificial Intelligence,1.0,1.0,0,1.0,1.0,1.0,,201-300,0.0,50-60,2-4,42,,Good sleep,Tasty meal for dinner
4-4-2023 12:11:39,Artificial Intelligence,1.0,1.0,1,1.0,1.0,1.0,2001-03-01,201-300,0.0,60-70,6-10,420,,gym,good food
4-4-2023 12:10:59,Computer Science,0.0,1.0,1,1.0,1.0,1.0,,201-300,0.0,40-50,0-2,8,12:00-29,Money,Sleeping
4-4-2023 12:11:34,Business Analytics,1.0,,1,1.0,1.0,1.0,1997-09-19,101-200,1.0,50-60,4-6,9,02:00-29,The weather ,Drinking coffee 
4-4-2023 12:11:00,Artificial Intelligence,1.0,,0,1.0,0.0,1.0,1997-10-09,301-400,0.0,60-70,6-10,9997655,22:30-59,Sun,Friends
4-4-2023 12:11:26,Business Analytics,1.0,0.0,1,0.0,0.0,1.0,2000-05-19,501-1000,0.0,70-80,0-2,8,22:00-29,Weather,Friends 
4-4-2023 12:09:44,Artificial Intelligence,1.0,1.0,1,1.0,1.0,1.0,1999-11-27,501-1000,0.0,20-30,10-15,4153,22:30-59,Sunny weather,Going to the gym
4-4-2023 12:11:18,Computational Science,1.0,0.0,1,1.0,1.0,1.0,2000-11-18,401-500,0.0,50-60,10-15,27,12:00-29,Doing an activity or sports,When I do not need to do anything for school
4-4-2023 12:11:55,Artificial Intelligence,1.0,1.0,1,1.0,0.0,0.0,1999-07-13,301-400,0.0,30-40,4-6,12,01:00-29,Sun,Coffee
4-4-2023 12:12:20,Artificial Intelligence,1.0,0.0,1,0.0,0.0,1.0,,101-200,,60-70,2-4,|,01:00-29,Friends,Food
4-4-2023 12:11:06,Computational Science,0.0,1.0,1,0.0,0.0,1.0,1997-09-30,301-400,0.0,40-50,2-4,72,,Arts & Crafts,Good Music
